locationId,odsCode,name,region,localAuthority,postalCode,onspdIcbCode,onspdIcbName,registrationStatus,overallRating,overallReportDate,safeRating,effectiveRating,caringRating,responsiveRating,well-ledRating
1-543777857,D81085,Papworth Surgery,East,Cambridgeshire,CB23 3QQ,E54000065,NHS Central East Integrated Care Board,Registered,Good,2016-05-04,Good,Good,Outstanding,Good,Good
1-543778322,E82008,The Nevells Road Surgery,East,Hertfordshire,SG6 4TS,E54000065,NHS Central East Integrated Care Board,Registered,Good,2017-04-27,Good,Good,Good,Good,Good
1-543779070,F83044,The Bloomsbury Surgery,London,Camden,WC1N 1PD,E54000071,NHS West and North London Integrated Care Board,Registered,Good,2016-08-31,Good,Good,Good,Good,Good
1-543782164,P81006,Garstang Medical Practice,North West,Lancashire,PR3 1PB,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Registered,Good,2019-02-01,Good,Good,Good,Good,Good
1-543785019,K84618,Cogges Surgery,South East,Oxfordshire,OX28 3FS,E54000070,NHS Thames Valley Integrated Care Board,Registered,Good,2017-06-15,Good,Good,Good,Good,Good
1-543794135,G84028,St James' Practice,London,Bromley,BR3 4DG,E54000030,NHS South East London Integrated Care Board,Registered,,,,,,,
1-543796378,P91008,Shay Lane Medical Centre,North West,Trafford,WA15 8NZ,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Good,2016-05-13,Good,Good,Good,Good,Good
1-543798174,A83073,Dr Rachel Ng & partners,North East,County Durham,DH9 7XT,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,,,,,,,
1-543805984,F84088,Plashet Medical Centre,London,Newham,E13 0QT,E54000029,NHS North East London Integrated Care Board,Registered,Good,2021-10-22,Good,Good,Good,Good,Good
1-543806355,F81132,Blandford Medical Centre,East,Essex,CM7 2AE,E54000066,NHS Essex Integrated Care Board,Registered,Good,2017-07-28,Good,Good,Good,Requires improvement,Good
1-543811515,E86015,Dr Kiran Pitrola & Partners,London,Hillingdon,UB8 1UB,E54000071,NHS West and North London Integrated Care Board,Registered,Good,2017-03-31,Good,Good,Good,Good,Good
1-543814367,C88088,East Bank Medical Centre,Yorkshire & Humberside,Sheffield,S2 2AG,E54000061,NHS South Yorkshire Integrated Care Board,Registered,Good,2018-06-08,Good,Good,Good,Good,Good
1-543837896,H81003,Sunbury Health Centre Group Practice,South East,Surrey,TW16 6RH,E54000069,NHS Surrey and Sussex Integrated Care Board,Registered,Good,2016-08-12,Good,Good,Good,Good,Good
1-543839572,L81041,Hillview Family Practice,South West,"Bristol, City of",BS13 0JP,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Registered,,,,,,,
1-543843076,N82106,The Village Medical Centre,North West,Liverpool,L25 6HE,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Registered,,,,,,,
1-543845149,K81010,Kings Corner Surgery,South East,Windsor and Maidenhead,SL5 0AE,E54000070,NHS Thames Valley Integrated Care Board,Registered,Good,2019-12-17,Good,Good,Good,Good,Good
1-543846160,G85632,The Villa Street Medical Centre,London,Southwark,SE17 2EL,E54000030,NHS South East London Integrated Care Board,Registered,Good,2017-03-30,Good,Good,Good,Good,Good
1-543847038,D83035,Cutlers Hill Surgery,East,Suffolk,IP19 8SG,E54000068,NHS Norfolk and Suffolk Integrated Care Board,Registered,,,,,,,
1-543850696,K84613,Alchester Medical Group,South East,Oxfordshire,OX26 6XX,E54000070,NHS Thames Valley Integrated Care Board,Registered,,,,,,,
1-543854551,D81005,Newnham Walk Surgery,East,Cambridgeshire,CB3 9HS,E54000065,NHS Central East Integrated Care Board,Registered,Good,2020-02-11,Good,Good,Good,Good,Good
1-543856754,E82083,The Colne Practice,East,Hertfordshire,WD3 7DJ,E54000065,NHS Central East Integrated Care Board,Registered,Good,2020-03-19,Requires improvement,Good,Good,Good,Good
1-543861555,N84005,Cumberland House Surgery,North West,Sefton,PR8 6PG,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Registered,Good,2018-05-31,Good,Good,Good,Good,Good
1-543865751,M83723,Loomer Road Surgery,West Midlands,Staffordshire,ST5 7JS,E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Registered,Good,2017-08-14,Good,Good,Good,Good,Good
1-543866255,J81027,Royal Crescent Surgery,South West,Dorset,DT4 7BY,E54000041,NHS Dorset Integrated Care Board,Registered,Outstanding,2023-02-10,Good,Good,Outstanding,Outstanding,Good
1-543870924,H84010,Canbury Medical Centre,London,Kingston upon Thames,KT2 6HR,E54000031,NHS South West London Integrated Care Board,Registered,Good,2017-03-07,Good,Good,Good,Good,Good
1-543871326,H85008,The Roehampton Surgery,London,Wandsworth,SW15 4HN,E54000031,NHS South West London Integrated Care Board,Registered,Good,2018-10-22,Good,Good,Good,Good,Good
1-543874932,G84010,The Chislehurst Partnership,London,Bromley,BR7 5AQ,E54000030,NHS South East London Integrated Care Board,Registered,Good,2016-09-22,Good,Good,Good,Good,Good
1-543875370,F85032,The Southgate Surgery,London,Enfield,N14 4PR,E54000071,NHS West and North London Integrated Care Board,Registered,Good,2017-01-24,Good,Good,Good,Good,Good
1-543876245,N85047,The Orchard Surgery,North West,Wirral,CH62 7EU,E54000008,NHS Cheshire and Merseyside Integrated Care Board,Registered,Good,2024-03-04,Good,Good,Good,Good,Good
1-543878465,E86012,Dr Shapiro & Partners,London,Hillingdon,HA4 6ER,E54000071,NHS West and North London Integrated Care Board,Registered,Good,2019-08-29,Good,Good,Good,Good,Good
1-543880686,D81008,North Brink Practice,East,Cambridgeshire,PE13 1JU,E54000065,NHS Central East Integrated Care Board,Registered,Good,2020-02-25,Good,Good,Good,Good,Outstanding
1-543895080,L83013,Brunel Medical Practice,South West,Torbay,TQ1 3SL,E54000037,NHS Devon Integrated Care Board,Registered,Good,2018-08-14,Good,Good,Good,Good,Good
1-543896710,B82023,Catterick Village Surgery,Yorkshire & Humberside,North Yorkshire,DL10 7LD,E54000051,NHS Humber and North Yorkshire Integrated Care Board,Registered,,,,,,,
1-543897510,L81018,Severn View Family Practice,South West,South Gloucestershire,BS35 1DP,E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",Registered,Good,2016-12-07,Good,Good,Good,Good,Good
1-543924095,A84035,Riversdale Surgery,North East,Northumberland,NE41 8DH,E54000050,NHS North East and North Cumbria Integrated Care Board,Registered,Good,2017-06-30,Good,Good,Good,Good,Good
1-543928675,C85023,Hollygreen Practice,Yorkshire & Humberside,Barnsley,S63 9EH,E54000061,NHS South Yorkshire Integrated Care Board,Registered,Good,2018-12-11,Good,Good,Good,Good,Good
1-543928782,P82023,Mandalay Medical Centre,North West,Bolton,BL1 7LR,E54000057,NHS Greater Manchester Integrated Care Board,Registered,Good,2018-01-12,Good,Good,Good,Good,Good
1-543932210,E82123,Warden Lodge Medical Practice,East,Hertfordshire,EN8 8NW,E54000065,NHS Central East Integrated Care Board,Registered,Good,2017-03-17,Good,Good,Good,Good,Good
1-543934969,P81157,Fernbank Surgery,North West,Lancashire,FY8 5DZ,E54000048,NHS Lancashire and South Cumbria Integrated Care Board,Registered,Good,2016-09-08,Good,Good,Good,Good,Good
1-543935791,F81102,Rockleigh Court Surgery,East,Essex,CM15 8NN,E54000066,NHS Essex Integrated Care Board,Registered,Good,2016-02-18,Good,Good,Good,Good,Good
